epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1418.81,1.13163,0.96682,1.30475,0.71601,0.69678,0.75565,0.53696,1.13238,0.96997,1.31189,0.0008912,0.0008912,0.0008912
58,1454.74,1.10515,0.94072,1.29716,0.72883,0.69756,0.77406,0.54413,1.15404,0.91926,1.30685,0.0008714,0.0008714,0.0008714
59,1491.14,1.13023,0.95111,1.30047,0.73699,0.69914,0.77029,0.54528,1.12671,0.92117,1.31233,0.0008516,0.0008516,0.0008516
60,1527.03,1.08254,0.93337,1.29207,0.7376,0.69835,0.77763,0.55059,1.13093,0.94189,1.30542,0.0008318,0.0008318,0.0008318
61,1563.02,1.10782,0.92211,1.28475,0.7416,0.68185,0.76794,0.54614,1.12002,0.93603,1.28621,0.000812,0.000812,0.000812
62,1598.75,1.10342,0.92532,1.29873,0.73359,0.69049,0.76704,0.53956,1.12566,1.01889,1.29769,0.0007922,0.0007922,0.0007922
63,1635.68,1.11143,0.93488,1.28364,0.72838,0.71642,0.78016,0.5576,1.09646,0.90085,1.28247,0.0007724,0.0007724,0.0007724
64,1671.67,1.05944,0.90304,1.27519,0.77479,0.68971,0.79144,0.5662,1.10608,0.88821,1.28938,0.0007526,0.0007526,0.0007526
65,1707.99,1.07029,0.91473,1.26817,0.73257,0.69934,0.7691,0.54346,1.11567,0.94361,1.30381,0.0007328,0.0007328,0.0007328
66,1744.2,1.08942,0.91664,1.28809,0.74686,0.73008,0.78908,0.56429,1.10619,0.884,1.29836,0.000713,0.000713,0.000713
67,1780.09,1.07333,0.89946,1.27281,0.75435,0.71485,0.78621,0.5699,1.08916,0.87005,1.28133,0.0006932,0.0006932,0.0006932
68,1815.84,1.0794,0.89994,1.27712,0.72528,0.70463,0.77749,0.55222,1.10894,0.91372,1.28426,0.0006734,0.0006734,0.0006734
69,1851.65,1.06717,0.88973,1.26464,0.76633,0.70935,0.7887,0.56791,1.09355,0.87902,1.2793,0.0006536,0.0006536,0.0006536
70,1887.44,1.05607,0.89872,1.26316,0.77015,0.7133,0.78183,0.56553,1.08935,0.87695,1.28152,0.0006338,0.0006338,0.0006338
71,1925.18,1.03441,0.85555,1.25434,0.73472,0.70055,0.77017,0.55237,1.08605,0.91306,1.283,0.000614,0.000614,0.000614
72,1962.84,1.05613,0.87967,1.26696,0.71494,0.72307,0.76979,0.55043,1.09719,0.91841,1.27138,0.0005942,0.0005942,0.0005942
73,1999.24,1.07058,0.8909,1.25937,0.70462,0.73998,0.78546,0.56797,1.08602,0.86939,1.27509,0.0005744,0.0005744,0.0005744
74,2036.21,1.02082,0.87561,1.2398,0.75021,0.72113,0.79619,0.57421,1.08165,0.864,1.2649,0.0005546,0.0005546,0.0005546
75,2073.92,1.03864,0.84047,1.24358,0.77465,0.68814,0.79938,0.58246,1.06914,0.86114,1.26901,0.0005348,0.0005348,0.0005348
76,2110.99,1.03235,0.86877,1.24996,0.77813,0.71354,0.80342,0.57783,1.09582,0.84967,1.27062,0.000515,0.000515,0.000515
77,2146.98,1.02255,0.8562,1.24965,0.77613,0.70621,0.80168,0.57596,1.08119,0.85667,1.27013,0.0004952,0.0004952,0.0004952
78,2182.91,1.03819,0.83056,1.22868,0.77915,0.71013,0.79652,0.58358,1.0705,0.8503,1.26186,0.0004754,0.0004754,0.0004754
79,2219.45,1.04135,0.84824,1.23647,0.75277,0.72977,0.80567,0.58708,1.06666,0.85725,1.24984,0.0004556,0.0004556,0.0004556
80,2256.97,1.017,0.83384,1.23151,0.74753,0.72742,0.80317,0.58517,1.05634,0.83966,1.2489,0.0004358,0.0004358,0.0004358
81,2293.33,1.03021,0.82352,1.25334,0.75903,0.73737,0.81065,0.58942,1.06054,0.86893,1.24956,0.000416,0.000416,0.000416
82,2331.19,1.01959,0.81526,1.22292,0.7505,0.75849,0.80493,0.58625,1.05819,0.85436,1.24733,0.0003962,0.0003962,0.0003962
83,2368.71,1.00928,0.81772,1.23235,0.7787,0.7502,0.81717,0.59827,1.05291,0.81591,1.24398,0.0003764,0.0003764,0.0003764
84,2408.53,0.99856,0.82177,1.22882,0.78346,0.73527,0.81401,0.59033,1.05124,0.8229,1.24437,0.0003566,0.0003566,0.0003566
85,2445.75,0.98972,0.80302,1.22962,0.75233,0.74548,0.81059,0.59098,1.05173,0.83161,1.24079,0.0003368,0.0003368,0.0003368
86,2482.47,1.00702,0.81825,1.22101,0.78318,0.74156,0.81499,0.60022,1.04592,0.80884,1.24269,0.000317,0.000317,0.000317
87,2519.7,0.98573,0.79171,1.21652,0.80069,0.71637,0.81043,0.59203,1.05834,0.82061,1.24927,0.0002972,0.0002972,0.0002972
88,2557.58,0.99142,0.79662,1.21124,0.75926,0.75565,0.81271,0.60161,1.04072,0.82571,1.2326,0.0002774,0.0002774,0.0002774
89,2594.48,0.99536,0.79321,1.20743,0.76694,0.75962,0.81674,0.59878,1.04433,0.80455,1.24154,0.0002576,0.0002576,0.0002576
90,2630.59,0.99574,0.79512,1.21032,0.75018,0.76826,0.81895,0.60163,1.0372,0.80879,1.23218,0.0002378,0.0002378,0.0002378
91,2676.53,0.92857,0.73818,1.18433,0.76562,0.75884,0.81653,0.59812,1.04196,0.80575,1.23681,0.000218,0.000218,0.000218
92,2711.89,0.9166,0.70148,1.17253,0.80556,0.72427,0.81732,0.59396,1.04654,0.7976,1.23942,0.0001982,0.0001982,0.0001982
93,2747.47,0.90417,0.68352,1.15888,0.77465,0.76151,0.82417,0.60754,1.03173,0.79433,1.22575,0.0001784,0.0001784,0.0001784
94,2782.94,0.8876,0.65916,1.14531,0.76852,0.75962,0.81901,0.60364,1.02694,0.7964,1.22517,0.0001586,0.0001586,0.0001586
95,2818.57,0.88622,0.66192,1.1523,0.80229,0.74705,0.82463,0.61123,1.02219,0.78866,1.2263,0.0001388,0.0001388,0.0001388
96,2853.93,0.888,0.65338,1.14981,0.79663,0.73542,0.82041,0.60337,1.02605,0.78594,1.23446,0.000119,0.000119,0.000119
97,2889.32,0.88657,0.64034,1.14196,0.76809,0.78005,0.82891,0.60995,1.02852,0.77732,1.2311,9.92e-05,9.92e-05,9.92e-05
98,3453.65,0.89169,0.64045,1.15408,0.80527,0.74064,0.82645,0.60974,1.02322,0.77982,1.22464,7.94e-05,7.94e-05,7.94e-05
99,3489.46,0.88747,0.64567,1.15161,0.78088,0.76748,0.82644,0.6103,1.02577,0.77873,1.2256,5.96e-05,5.96e-05,5.96e-05
100,3526.75,0.86559,0.61686,1.12625,0.77456,0.77141,0.8279,0.61075,1.02086,0.77427,1.22275,3.98e-05,3.98e-05,3.98e-05
